2018-09-20 15:07:21.7970 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:07:21.8130 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:07:21.8130 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:07:21.8130 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:07:21.8240 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:10:09.5556 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:10:09.5556 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:10:09.5556 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:10:09.5556 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:10:09.5726 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:10:09.5726 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:10:09.5726 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:11:46.1031 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:11:46.1081 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:11:46.1081 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:11:46.1211 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

2018-09-20 15:11:46.1211 | INFO | Hangfire.BackgroundJobServer |     Listening queues: 'default' 

2018-09-20 15:11:46.1211 | INFO | Hangfire.BackgroundJobServer |     Shutdown timeout: 00:00:15 

2018-09-20 15:11:46.1381 | INFO | Hangfire.BackgroundJobServer |     Schedule polling interval: 00:00:15 

2018-09-20 15:13:35.5453 | INFO | Hangfire.BackgroundJobServer | Starting Hangfire Server 

2018-09-20 15:13:35.5453 | INFO | Hangfire.BackgroundJobServer | Using job storage: 'Hangfire.MemoryStorage.MemoryStorage' 

2018-09-20 15:13:35.5553 | INFO | Hangfire.BackgroundJobServer | Using the following options for Hangfire Server: 

2018-09-20 15:13:35.5553 | INFO | Hangfire.BackgroundJobServer |     Worker count: 20 

