2018-09-21 12:43:06.5383 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8a96e6de' started. 

2018-09-21 12:43:06.5383 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #bba12e86' started. 

2018-09-21 12:43:06.5053 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #f6a85a12' started. 

2018-09-21 12:43:06.5543 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #acea34e8' started. 

2018-09-21 12:43:06.5833 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #82efad86' started. 

2018-09-21 12:43:06.5783 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #7ac5c736' started. 

2018-09-21 12:55:10.4901 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e32ccbe4' started. 

2018-09-21 12:55:10.5221 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a4d5fe10' started. 

2018-09-21 12:55:10.5361 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #e5ecce87' started. 

2018-09-21 12:55:10.5361 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #46272337' started. 

2018-09-21 12:55:10.5791 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a11be5af' started. 

2018-09-21 12:55:10.5361 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a428fe2d' started. 

2018-09-21 12:55:10.5821 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #140e85e6' started. 

2018-09-21 12:55:10.5821 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #d4ff3ac5' started. 

2018-09-21 12:55:10.6081 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #15dd6c9e' started. 

2018-09-21 12:55:10.6331 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #364ebec0' started. 

2018-09-21 12:55:10.6581 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a6cba51f' started. 

2018-09-21 12:55:10.6331 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #2c121e27' started. 

2018-09-21 12:55:10.6641 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #a0604077' started. 

2018-09-21 12:55:10.6641 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #3bb0ffa9' started. 

2018-09-21 12:55:10.7041 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #25e4c613' started. 

2018-09-21 12:55:10.6801 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #706dd515' started. 

2018-09-21 12:55:10.7271 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #64a9f767' started. 

2018-09-21 12:55:10.7271 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #fc9e7aac' started. 

2018-09-21 12:55:10.7601 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #85ba88d6' started. 

2018-09-21 12:55:10.7271 | DEBUG | Hangfire.Server.Worker | Background process 'Worker #8cc4b4d9' started. 

